Source,Target,Mean_CLR,Mean_DII,Observed_Diff,Empirical_p_value,FDR_adjusted_p_value,Significant
granulocytes,immune cells / vasculature,0.0023906814839902693,0.0004409779966483309,0.0019497034873419384,0.2777222777222777,1.0,No
granulocytes,tumor cells / immune cells,0.0,0.0,0.0,1.0,1.0,No
granulocytes,smooth muscle,0.005615454465004231,0.0035074080773193376,0.0021080463876848934,0.6203796203796204,1.0,No
granulocytes,CD11b+CD68+ macrophages,4.9558925562493803e-05,0.0005130990700913502,-0.0004635401445288564,0.1088911088911089,1.0,No
granulocytes,B cells,0.0007474784584456389,0.0007115002022380992,3.5978256207539654e-05,0.954045954045954,1.0,No
granulocytes,CD11c+ DCs,0.0001919906254727649,0.0002792719313641479,-8.7281305891383e-05,0.7672327672327672,1.0,No
granulocytes,Tregs,0.0027754934210526315,0.0006808311560481984,0.002094662265004433,0.44955044955044954,1.0,No
granulocytes,CD8+ T cells,0.0008848059894392682,0.0014557078739579976,-0.0005709018845187295,0.4355644355644356,1.0,No
granulocytes,plasma cells,0.0005385881055807803,0.00115751255691057,-0.0006189244513297897,0.35064935064935066,1.0,No
granulocytes,adipocytes,0.0012958874989780068,0.00039245892456901633,0.0009034285744089905,0.987012987012987,1.0,No
granulocytes,CD68+CD163+ macrophages,0.007316138092225324,0.007287752596781978,2.8385495443346634e-05,0.988011988011988,1.0,No
granulocytes,stroma,0.0028690643576405076,0.0016289125971234103,0.0012401517605170973,0.5344655344655345,1.0,No
granulocytes,tumor cells,0.00777408199683702,0.008756961553943279,-0.0009828795571062594,0.7672327672327672,1.0,No
granulocytes,CD4+ T cells CD45RO+,0.001107066499191043,0.0017116248133689045,-0.0006045583141778615,0.5084915084915085,1.0,No
CD3+ T cells,tumor cells / immune cells,0.0,0.0,0.0,1.0,1.0,No
CD4+ T cells CD45RO+,CD3+ T cells,0.0,0.0,0.0,1.0,1.0,No
CD4+ T cells CD45RO+,CD163+ macrophages,0.0,0.0,0.0,1.0,1.0,No
CD4+ T cells CD45RO+,CD4+ T cells GATA3+,0.0,0.0,0.0,1.0,1.0,No
CD4+ T cells CD45RO+,CD11b+ monocytes,0.00018221574344023323,0.00029214139643587495,-0.00010992565299564172,0.939060939060939,1.0,No
CD4+ T cells CD45RO+,lymphatics,0.0,0.0,0.0,1.0,1.0,No
CD4+ T cells CD45RO+,CD68+ macrophages,0.0030755757044974496,0.00029730238444461324,0.002778273320052836,0.2947052947052947,1.0,No
CD4+ T cells CD45RO+,CD68+ macrophages GzmB+,0.0,0.0,0.0,1.0,1.0,No
CD4+ T cells CD45RO+,nerves,0.0,0.0,0.0,1.0,1.0,No
CD4+ T cells CD45RO+,NK cells,0.0,0.0,0.0,1.0,1.0,No
CD4+ T cells CD45RO+,immune cells,0.001132549790402811,7.346998751010212e-05,0.0010590798028927088,0.18281718281718282,1.0,No
CD4+ T cells CD45RO+,immune cells / vasculature,0.00020833333333333332,0.0002927400468384075,-8.440671350507417e-05,0.9370629370629371,1.0,No
CD4+ T cells CD45RO+,tumor cells / immune cells,0.0003106210380957014,0.0,0.0003106210380957014,0.21078921078921078,1.0,No
CD4+ T cells CD45RO+,smooth muscle,0.0019854586210143388,0.004469837437033482,-0.0024843788160191435,0.1958041958041958,1.0,No
CD4+ T cells CD45RO+,CD11b+CD68+ macrophages,0.0,0.0,0.0,1.0,1.0,No
CD4+ T cells CD45RO+,B cells,0.004312519837708421,0.002017223694869061,0.0022952961428393598,0.12087912087912088,1.0,No
CD4+ T cells CD45RO+,CD11c+ DCs,0.0,0.0,0.0,1.0,1.0,No
tumor cells,tumor cells / immune cells,0.0002918271948224572,0.0007520211791760204,-0.00046019398435356325,0.3036963036963037,1.0,No
tumor cells,smooth muscle,0.006692968113174226,0.003767128367013644,0.0029258397461605816,0.9050949050949051,1.0,No
tumor cells,CD11b+CD68+ macrophages,0.0,0.0004450015033211407,-0.0004450015033211407,0.6283716283716284,1.0,No
tumor cells,CD11c+ DCs,0.0005787037037037037,0.00025445481157933015,0.0003242488921243735,0.7502497502497503,1.0,No
tumor cells,CD4+ T cells,0.0005281385281385282,0.00022956841138659323,0.00029857011675193495,0.5034965034965035,1.0,No
tumor cells,Tregs,0.00010697947738412964,0.00041300498601360737,-0.00030602550862947775,0.17682317682317683,1.0,No
tumor cells,CD8+ T cells,0.0017612351279047613,0.0008371833212437334,0.000924051806661028,0.26373626373626374,1.0,No
tumor cells,plasma cells,0.001573431272757568,0.001031071425880931,0.000542359846876637,0.5724275724275725,1.0,No
